Date,Close,High,Low,Open,Volume
2023-11-20,50.373775482177734,50.51267829045294,49.14663294635536,49.27754192431734,414120000
2023-11-21,49.909095764160156,50.481693358553215,49.18760022799973,50.09096777649301,565747000
2023-11-22,48.68195724487305,50.29982538193606,47.6566732297451,49.81716500278888,899420000
2023-11-24,47.742618560791016,48.8868189750065,47.711638178100976,48.43613388773008,294645000
2023-11-27,48.20828628540039,48.496083215098835,47.618698458972716,47.766593838676684,395662000
2023-11-28,47.78758239746094,48.289234319970646,47.439826002688484,48.202293315261734,401491000
2023-11-29,48.10636520385742,48.72793227517069,47.826562052543174,48.34520044689955,382005000
2023-11-30,46.7373161315918,48.07637985053357,46.389559751727184,47.99043760178817,526247000
2023-12-01,46.73231887817383,47.16701626199501,46.15472368293033,46.49248873071015,369317000
2023-12-04,45.47820281982422,46.04480802783984,44.9785521441802,46.04480802783984,437543000
2023-12-05,46.53756332397461,46.57153914377431,45.243352217809694,45.43823282334391,371718000
2023-12-06,45.47520446777344,47.35805637744802,45.3842604483653,47.18616055304672,380590000
2023-12-07,46.56753158569336,46.600512368918565,45.57613709541874,45.67207911260122,350823000
2023-12-08,47.47698211669922,47.71183918008555,46.52156479549851,46.566539290284055,359224000
2023-12-11,46.598514556884766,47.50196163403656,45.802004370558734,47.461988967358906,509728000
2023-12-12,47.62788391113281,47.63687728383164,46.017868142614965,46.017868142614965,372387000
2023-12-13,48.058624267578125,48.56431567041087,47.5789179572985,47.59990503689136,447792000
2023-12-14,48.320465087890625,48.640269318911756,47.3930343428762,48.36044156986005,391232000
2023-12-15,48.860137939453125,49.37382393315781,48.0906077891267,48.16456390223083,479948000
2023-12-18,50.046409606933594,50.402191134156865,49.11997773498407,49.36982501987744,412587000
2023-12-19,49.573692321777344,49.66963433728467,48.86512588284418,49.39380199579273,464444000
2023-12-20,48.08160400390625,49.96845091462431,48.068611458987135,49.62465933137436,397894000
2023-12-21,48.9600715637207,49.06500695718709,48.389417453965386,48.781180068606574,300425000
2023-12-22,48.8001708984375,49.352830653569725,48.43738988482299,49.16494577989552,252507000
2023-12-26,49.2488899230957,49.569692938536456,48.93008458769596,48.93807912022649,244200000
2023-12-27,49.386810302734375,49.64965012045702,49.05501239405432,49.48075464580007,233648000
2023-12-28,49.49174499511719,49.85352335128604,49.38181158719183,49.61267326878179,246587000
