Date,Close,High,Low,Open,Volume
2011-04-11,9.911763191223145,10.057681975218765,9.88839231084134,10.00944162975967,398946800
2011-04-12,9.959704399108887,9.999554910946715,9.893785074118288,9.902474145103467,425639200
2011-04-13,10.071468353271484,10.071767590219135,9.963301397585214,10.038209046648884,346220000
2011-04-14,9.96030330657959,10.067570932690618,9.94951717664849,10.03161529935676,301800800
2011-04-15,9.811687469482422,9.996859117913383,9.791912229404733,9.986671460852808,453605600
2011-04-18,9.943222045898438,9.954608247122142,9.59295494086624,9.77093524371288,609898800
2011-04-19,10.12330150604248,10.126896348897041,9.939028405138288,9.980677535962721,419378400
2011-04-20,10.259634017944336,10.359710359357562,10.232368255530842,10.292593282480444,700666400
2011-04-21,10.508028030395508,10.640764411830116,10.442708769130048,10.636868731051303,753810400
2011-04-25,10.577239990234375,10.599413120442659,10.496039591916675,10.49723893959402,266546000
2011-04-26,10.499637603759766,10.636568084659467,10.467576851284441,10.595519024098301,338800000
2011-04-27,10.491544723510742,10.55746403575504,10.400158277198353,10.554167630088669,356213200
2011-04-28,10.38967227935791,10.479560148973064,10.352817340703371,10.372892612956178,360959200
2011-04-29,10.490946769714355,10.605404860969175,10.387274006271323,10.390570412101036,1006345200
2011-05-02,10.375589370727539,10.501134436646872,10.352218491664727,10.479261342096406,442713600
2011-05-03,10.43311595916748,10.483753387017341,10.355811251533838,10.426823985323507,313348000
2011-05-04,10.47416877746582,10.541885125032477,10.393567641558484,10.434916738767024,389250400
2011-05-05,10.38967227935791,10.515516576976776,10.368697696355746,10.439110367616685,335969200
2011-05-06,10.38697624206543,10.487052576928884,10.373492980192077,10.477764232098137,280134400
2011-05-09,10.415142059326172,10.46308317171878,10.383081305396965,10.422931820007332,204747200
2011-05-10,10.470569610595703,10.477760894663849,10.386972933549425,10.453789947770032,282091600
2011-05-11,10.404054641723633,10.487052873983972,10.3444288908899,10.4576892539526,336000000
2011-05-12,10.384278297424316,10.400758727423412,10.255438427400307,10.370795836704112,322000000
2011-05-13,10.202404022216797,10.374690859540255,10.197909868234825,10.357013480498475,326116000
2011-05-16,9.986668586730957,10.223976199959404,9.965694004701463,10.163451149156998,449775200
2011-05-17,10.071767807006836,10.071767807006836,9.909667788560958,9.947721287955352,452334400
2011-05-18,10.183530807495117,10.218887177969856,10.06757407384128,10.081656614613534,334776400
2011-05-19,10.203301429748535,10.259631562902225,10.14756977025542,10.249743945927149,261170000
2011-05-20,10.044198036193848,10.215886370949493,10.038205298490572,10.17423724396097,337968400
2011-05-23,10.01962947845459,10.066971314087667,9.870414285312354,9.886893916688633,383600000
2011-05-24,9.953410148620605,10.064573433757264,9.927941413204769,10.052587958244283,321927200
2011-05-25,10.090941429138184,10.1442760032619,9.97318691448685,9.990565056550563,294224000
2011-05-26,10.037603378295898,10.09423353451352,10.020524480393675,10.06666774844469,222560800
2011-05-27,10.109816551208496,10.116408562706493,10.016931516759485,10.031613324137592,203599200
2011-05-31,10.42203140258789,10.42203140258789,10.21738380162173,10.220380970702806,417754400
2011-06-01,10.35251522064209,10.550870007958832,10.32674805262131,10.453191598597524,554682800
2011-06-02,10.370199203491211,10.42653016082013,10.316266142321867,10.382184683794986,338783200
2011-06-03,10.290498733520508,10.34712893536813,10.24765183586239,10.282708970381886,313250000
2011-06-06,10.128694534301758,10.39866140165979,10.121803285109943,10.358211617131587,461941200
2011-06-07,9.94891357421875,10.134085140230727,9.944718658472707,10.132587356084896,529785200
2011-06-08,9.954911231994629,10.03161670050034,9.907270951289135,9.94112873068578,333723600
2011-06-09,9.9324369430542,9.997756188194108,9.910263812068244,9.985171438175053,275088800
2011-06-10,9.76494312286377,9.937529972871387,9.753256883978562,9.904270677772171,433955200
2011-06-13,9.785917282104492,9.837153992671867,9.740074035822927,9.80389469629198,329473200
2011-06-14,9.960902214050293,9.985172405675112,9.867117853877064,9.8877924022909,334569200
2011-06-15,9.79041576385498,9.896784103033932,9.734384042520878,9.880304467382313,399196000
2011-06-16,9.74277114868164,9.84824094731619,9.538124326966214,9.79490717419066,510591200
2011-06-17,9.59595012664795,9.865318465263474,9.568983609134612,9.857527906842298,615020000
2011-06-20,9.447935104370117,9.51924708939352,9.30351331284716,9.509059434362015,640645600
2011-06-21,9.746967315673828,9.761948363935423,9.444341179684073,9.488686650731864,493382400
2011-06-22,9.666365623474121,9.854833649114967,9.65947357414033,9.742771039207843,390583200
2011-06-23,9.924642562866211,9.938425055101789,9.531827932482209,9.556396549054709,559759200
2011-06-24,9.778425216674805,9.982173479177424,9.740671772729497,9.92883971874106,439807200
